Model,Version,Info,Firmware
Yealink T53W,96.87.0.16,Yealink T53W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T5XW-96.87.0.16.rom
Yealink T53C,96.87.0.16,Yealink T53C FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T5XW-96.87.0.16.rom
Yealink T54S,70.84.0.80,Yealink T54S FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T5XS-70.84.0.80.rom
Yealink T54W,96.87.0.16,Yealink T54W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T5XW-96.87.0.16.rom
Yealink T57W,96.87.0.16,Yealink T57W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T5XW-96.87.0.16.rom
Yealink T56A,58.86.0.39,Yealink T56A FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T5XA-58.86.0.39.rom
Yealink T58,58.86.0.39,Yealink T58 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T5XA-58.86.0.39.rom
Yealink T58W,150.87.0.15,Yealink T58W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/T58W-150.87.0.15.rom
Yealink AX83H,180.87.0.6,Yealink AX83H FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/AX8-180.87.0.6.rom
Yealink CP860,37.81.0.15,Yealink CP860 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/CP860-37.81.0.15.rom
Yealink CP920,78.86.0.15,Yealink CP920 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/CP920-78.86.0.15.rom
Yealink CP925,148.87.0.15,Yealink CP925 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/CP925-148.87.0.15.rom
Yealink CP960,73.86.0.20,Yealink CP960 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/CP960-73.86.0.20.rom
Yealink CP965,143.87.0.20,Yealink CP965 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/CP965-143.87.0.20.rom
Yealink VP530P,23.70.0.63,Yealink VP530P FW,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/yealink/23.70.0.63.rom
Fanvil X3,1.4.0.2090,Fanvil X3 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x31.4.0.2090.z
Fanvil X5,1.4.0.2090,Fanvil X5 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x51.4.0.2090.z
Fanvil X1S,2.4.12,Fanvil X1S FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x1s_2.4.12.z
Fanvil X1SG,2.4.12,Fanvil X1SG FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x1sg_2.4.12.z
Fanvil X1,2.14.0.7387,Fanvil X1 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x1_2.14.0.7387.z
Fanvil X2C,2.14.0.7387,Fanvil X2C FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x2c_2.14.0.7387.z
Fanvil X2,2.14.0.7387,Fanvil X2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x2_2.14.0.7387.z
Fanvil X3S,2.14.0.7387,Fanvil X3S FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x3s_2.14.0.7387.z
Fanvil X3S(P) Lite,2.12.20,Fanvil X3S(P) Lite FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x3splite_2.12.20.z
Fanvil X3S(P) Pro,2.12.20,Fanvil X3S(P) Pro FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x3sppro_2.12.20.z
Fanvil X3SG,2.4.12,Fanvil X3SG FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x3sg_2.4.12.z
Fanvil X3SG Lite,2.12.20,Fanvil X3SG Lite FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x3sglite_2.12.20.z
Fanvil X3SG Pro,2.12.20,Fanvil X3SG Pro FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x3sgpro_2.12.20.z
Fanvil X3U,2.4.12,Fanvil X3U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x3u_2.4.12.z
Fanvil X3U Pro,2.12.20,Fanvil X3U Pro FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x3upro_2.12.20.z
Fanvil X301(P),2.12.20,Fanvil X301(P) FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x301x_2.12.20.z
Fanvil X301G,2.12.20,Fanvil X301G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x301x_2.12.20.z
Fanvil X301W,2.12.20,Fanvil X301W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x301w_2.12.20.z
Fanvil X303(P),2.12.20,Fanvil X303(P) FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x303x_2.12.20.z
Fanvil X303G,2.12.20,Fanvil X303G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x303x_2.12.20.z
Fanvil X303W,2.12.20,Fanvil X303W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x303w_2.12.20.z
Fanvil X305,2.12.1.10,Fanvil X305 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x305_2.12.1.10.z
Fanvil X4,2.14.0.7387,Fanvil X4 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x4_2.14.0.7387.z
Fanvil X4U,2.4.12,Fanvil X4U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x4u_2.4.12.z
Fanvil X4U-V2,2.12.20,Fanvil X4U-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x4u-v2_2.12.20.z
Fanvil X5S,2.4.12,Fanvil X5S FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x5s_2.4.12.z
Fanvil X5U,2.4.12,Fanvil X5U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x5u_2.4.12.z
Fanvil X5U-V2,2.12.20,Fanvil X5U-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x5u-v2_2.12.20.z
Fanvil X6,2.4.12,Fanvil X6 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x6_2.4.12.z
Fanvil X6U,2.4.12,Fanvil X6U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x6u_2.4.12.z
Fanvil X6U-V2,2.12.20,Fanvil X6U-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x6u-v2_2.12.20.z
Fanvil X7,2.4.12,Fanvil X7 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x7_2.4.12.z
Fanvil X7-V2,2.12.20,Fanvil X7-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x7-v2_2.12.20.z
Fanvil X7C,2.4.12,Fanvil X7C FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x7c_2.4.12.z
Fanvil X7C-V2,2.12.20,Fanvil X7C-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x7c-v2_2.12.20.z
Fanvil X7A,2.6.0.613,Fanvil X7A FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x7a_2.6.0.613_hw10.zip
Fanvil X210,2.4.12,Fanvil X210 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x210_2.4.12.z
Fanvil X210-V2,2.12.20,Fanvil X210-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x210-v2_2.12.20.z
Fanvil X210i-V2,2.12.20,Fanvil X210i-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/x210i-v2_2.12.20.z
Fanvil H2S,2.14.0.7387,Fanvil H2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h2s_2.14.0.7387.z
Fanvil H2U,2.4.12,Fanvil H2U FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h2u_2.4.12.z
Fanvil H2U-V2,2.4.8.2,Fanvil H2U-V2 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h2u-v2_2.4.8.2.z
Fanvil H3,2.14.0.7387,Fanvil H3 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h3_2.14.0.7387.z
Fanvil H3W,2.12.20,Fanvil H3W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h3w_2.12.20.z
Fanvil H5,2.14.0.7387,Fanvil H5 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h5_2.14.0.7387.z
Fanvil H5W,2.12.20,Fanvil H5W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/h5w_2.12.20.z
Fanvil Android C400,14.0.1.6.r1,Fanvil Android C400 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/C400.bin
Fanvil Android C600,14.0.1.6.r1,Fanvil Android C600 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/C600.bin
Fanvil i18S door-phone,2.8.2.7020,Fanvil i18S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil i10S door-phone,2.4.7,Fanvil i10S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i10S_2.4.7.z
Fanvil i10SD door-phone,2.4.7,Fanvil i10SD door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i10SD_2.4.7.z
Fanvil i10SV door-phone,2.4.7,Fanvil i10SV door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i10SV_2.4.7.z
Fanvil i16S door-phone,2.4.7,Fanvil i16S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i16S_2.4.7.z
Fanvil i16SV door-phone,2.4.7,Fanvil i16SV door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i16SV_2.4.7.z
Fanvil i20S door-phone,2.8.2.7020,Fanvil i20S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil i23S door-phone,2.8.2.7020,Fanvil i23S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil i30 door-phone,2.8.2.7020,Fanvil i30 door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil i31S door-phone,2.8.2.7020,Fanvil i31S door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil iW30 SIP Speaker,2.8.2.7020,Fanvil iW30 SIP Speaker: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil PA2 Paging Gateway,2.8.2.7020,Fanvil PA2 Paging Gateway: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/iSeries2.8.2.7020.z
Fanvil PA3 Paging Gateway,2.4.7,Fanvil PA3 Paging Gateway: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/PA3_2.4.7.z
Fanvil i56A door-phone,0.2.0.103,Fanvil i56A door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i56a_0.2.0.103_hw10.zip
Fanvil i61 door-phone,2.12.44.20.1,Fanvil i61 door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i61_2.12.44.20.1.z
Fanvil i62 door-phone,2.12.44.20.1,Fanvil i62 door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i62_2.12.44.20.1.z
Fanvil i63 door-phone,2.12.44.20.1,Fanvil i63 door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i63_2.12.44.20.1.z
Fanvil i64 door-phone,2.12.44.20.1,Fanvil i64 door-phone: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/i64_2.12.44.20.1.z
Fanvil V61G,2.12.18.8,Fanvil V61G FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v6xGW_2.12.18.8.z
Fanvil V61W,2.12.18.8,Fanvil V61W FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v6xGW_2.12.18.8.z
Fanvil V62,2.12.20.1,Fanvil V62 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/fanvil/v62_2.12.20.1.z
